inventory_key,rental_id,orderdate_key,remaining,Total_Rental_Amount
0,4863,19960101.0,4578,8.97
0,11433,19960102.0,4578,8.97
0,14714,19960103.0,4578,8.97
1,972,19960104.0,4576,7.95
1,2117,19960105.0,4576,7.95
1,4187,19960106.0,4576,7.95
1,9449,19960107.0,4576,7.95
1,15453,19960108.0,4576,7.95
2,10126,19960109.0,4579,1.98
2,15421,19960110.0,4579,1.98
3,10883,19960111.0,4579,1.98
3,14624,19960112.0,4579,1.98
5,361,19960113.0,4576,8.95
5,3201,19960114.0,4576,8.95
5,4390,19960115.0,4576,8.95
5,7168,19960116.0,4576,8.95
5,14098,19960117.0,4576,8.95
6,1210,19960118.0,4577,4.96
6,5766,19960119.0,4577,4.96
6,8510,19960120.0,4577,4.96
6,14798,19960121.0,4577,4.96
7,10141,19960122.0,4579,1.98
7,12651,19960123.0,4579,1.98
8,10310,19960124.0,4579,9.98
8,13421,19960125.0,4579,9.98
9,4364,19960126.0,4578,24.97
9,7733,19960127.0,4578,24.97
9,15218,19960128.0,4578,24.97
10,10992,19960129.0,4579,17.98
10,11758,19960130.0,4579,17.98
11,6999,19960131.0,4579,5.98
11,14882,19960201.0,4579,5.98
12,11306,19960202.0,4579,5.98
12,15788,19960203.0,4579,5.98
13,1033,19960204.0,4576,16.950000000000003
13,1427,19960205.0,4576,16.950000000000003
13,3897,19960206.0,4576,16.950000000000003
13,10437,19960207.0,4576,16.950000000000003
13,11845,19960208.0,4576,16.950000000000003
14,3956,19960209.0,4578,8.97
14,7586,19960210.0,4578,8.97
14,12727,19960211.0,4578,8.97
15,6493,19960212.0,4578,12.97
15,8931,19960213.0,4578,12.97
15,15352,19960214.0,4578,12.97
16,995,19960215.0,4576,17.950000000000003
16,2090,19960216.0,4576,17.950000000000003
16,5682,19960217.0,4576,17.950000000000003
16,6970,19960218.0,4576,17.950000000000003
16,11714,19960219.0,4576,17.950000000000003
17,8331,19960220.0,4579,6.98
17,15199,19960221.0,4579,6.98
18,3506,19960222.0,4578,15.97
18,9863,19960223.0,4578,15.97
18,15174,19960224.0,4578,15.97
19,465,19960225.0,4577,14.96
19,1716,19960226.0,4577,14.96
19,4789,19960227.0,4577,14.96
19,12726,19960228.0,4577,14.96
20,6348,19960229.0,4578,11.97
20,9359,19960301.0,4578,11.97
20,15542,19960302.0,4578,11.97
21,4802,19960303.0,4578,10.97
21,8002,19960304.0,4578,10.97
21,13943,19960305.0,4578,10.97
22,552,19960306.0,4576,19.950000000000003
22,1614,19960307.0,4576,19.950000000000003
22,6615,19960308.0,4576,19.950000000000003
22,11129,19960309.0,4576,19.950000000000003
22,12926,19960310.0,4576,19.950000000000003
23,2255,19960311.0,4577,18.96
23,5362,19960312.0,4577,18.96
23,7793,19960313.0,4577,18.96
23,13043,19960314.0,4577,18.96
24,5030,19960315.0,4578,12.97
24,9851,19960316.0,4578,12.97
24,15458,19960317.0,4578,12.97
25,317,19960318.0,4576,24.950000000000003
25,3391,19960319.0,4576,24.950000000000003
25,4594,19960320.0,4576,24.950000000000003
25,8353,19960321.0,4576,24.950000000000003
25,12764,19960322.0,4576,24.950000000000003
26,2965,19960323.0,4577,25.96
26,3567,19960324.0,4577,25.96
26,10526,19960325.0,4577,25.96
26,11944,19960326.0,4577,25.96
27,8263,19960327.0,4579,11.98
27,13796,19960328.0,4579,11.98
28,5806,19960329.0,4578,19.97
28,10485,19960330.0,4578,19.97
28,12513,19960331.0,4578,19.97
29,259,19960401.0,4576,30.950000000000003
29,2569,19960402.0,4576,30.950000000000003
29,3756,19960403.0,4576,30.950000000000003
29,7810,19960404.0,4576,30.950000000000003
29,12463,19960405.0,4576,30.950000000000003
30,11261,19960406.0,4579,12.98
30,14554,19960407.0,4579,12.98
31,11084,19960408.0,4579,12.98
31,14942,19960409.0,4579,12.98
32,3159,19960410.0,4577,24.96
32,4937,19960411.0,4577,24.96
32,10205,19960412.0,4577,24.96
32,15224,19960413.0,4577,24.96
33,6876,19960414.0,4578,14.97
33,7156,19960415.0,4578,14.97
33,13303,19960416.0,4578,14.97
34,3378,19960417.0,4577,19.96
34,6287,19960418.0,4577,19.96
34,7352,19960419.0,4577,19.96
34,14215,19960420.0,4577,19.96
35,9751,19960421.0,4579,9.98
35,12500,19960422.0,4579,9.98
36,120,19960423.0,4576,29.950000000000003
